,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,baro_pressure,baro_temperature,gps_lat,gps_lon,gps_alt,gps_vel_n_m_s,gps_vel_e_m_s,gps_vel_d_m_s,mag_x,mag_y,mag_z,nav_cmd
160,-0.0015978967,0.0026631611,-0.0031957934,-0.5315128,0.062249243,-9.682152,950.3097,11.507324,473973953,85482968,538168,13.84,4.18,0.03,0.2281686,-0.057445906,0.41222593,
161,0.007989483,0.007989483,0.0053263223,-0.5746084,0.095768064,-9.665392,950.32086,11.507507,473975448,85483629,538148,13.86,4.14,-0.02,0.22510818,-0.055080447,0.41343063,
162,-0.00479369,-0.0010652645,0.0015978967,-0.62728083,0.11971009,-9.734824,950.3283,11.50766,473976452,85484073,538120,13.849999,4.15,-0.04,0.23271017,-0.05929028,0.41436037,
163,-0.0026631611,0.009054748,-0.0005326322,-0.50278234,0.045489833,-9.76116,950.3189,11.507935,473977944,85484736,538082,13.82,4.16,0.07,0.22623286,-0.053508233,0.41413516,
164,0.0037284256,0.0037284256,0.0015978967,-0.5770026,0.035913024,-9.746795,950.31006,11.508209,473978947,85485186,538038,13.84,4.2,0.049999997,0.23221089,-0.060152207,0.41636822,
165,0.0010652645,0.0026631611,0.0010652645,-0.5506664,-0.011971008,-9.653421,950.30914,11.508179,473980442,85485860,538029,13.82,4.25,0.0,0.23311849,-0.061662555,0.418093,
166,-0.0005326322,0.0,0.0010652645,-0.5793968,0.06703765,-9.682152,950.32965,11.508148,473981447,85486313,538033,13.849999,4.22,-0.04,0.22777332,-0.061115373,0.41866168,
167,0.00479369,0.002130529,0.0026631611,-0.521936,-0.0023942017,-9.672575,950.3028,11.508209,473982940,85486984,538037,13.86,4.21,-0.02,0.22837202,-0.056884218,0.41820422,
168,-0.0015978967,0.010652645,-0.0015978967,-0.49799395,0.062249243,-9.751583,950.3315,11.508362,473983944,85487435,538001,13.86,4.2,0.02,0.2283359,-0.05118749,0.414941,
169,0.002130529,-0.008522116,0.0,-0.5315128,0.10534488,-9.679757,950.321,11.508392,473985440,85488107,537997,13.87,4.23,0.04,0.23201756,-0.06351668,0.42532995,
170,0.002130529,-0.004261058,-0.00479369,-0.533907,0.1388637,-9.782708,950.321,11.508392,473986445,85488560,537998,13.86,4.24,0.0,0.22908337,-0.053526264,0.41326228,
171,0.00479369,-0.00479369,-0.004261058,-0.533907,-0.021547815,-9.677363,950.30646,11.508301,473987942,85489235,538017,13.86,4.24,-0.01,0.23496178,-0.056088053,0.42536688,
172,0.009054748,-0.0037284256,0.0037284256,-0.45489833,-0.023942016,-9.5385,950.32214,11.508209,473988948,85489689,538026,13.86,4.24,0.0,0.2290581,-0.055847436,0.4174396,
173,0.8202536,0.015978966,0.4213121,-1.2521675,0.8523358,-10.907983,950.34375,11.508148,473990445,85490359,538016,13.849999,4.29,0.01,0.22984637,0.0034178398,0.42405882,16.0
174,0.294013,0.3882889,0.39734364,-0.48123455,0.58897364,-12.94066,950.3154,11.50708,473991391,85490948,538187,11.88,7.3999996,-0.19999999,0.19988918,0.15978552,0.4083291,
175,0.11930962,0.58696073,0.4910869,-0.7278373,0.15322891,-14.870387,950.34546,11.509277,473992266,85492716,537948,2.99,13.99,0.48999998,0.06727989,0.18358156,0.44733092,
176,0.00479369,0.588026,0.4607269,-0.7757214,-0.095768064,-14.882358,950.34546,11.509277,473992156,85494230,537542,-6.0099998,13.2699995,0.48999998,-0.102137886,0.22552116,0.41754207,
177,-0.25513083,0.36218992,0.3355583,-0.59615624,-0.5626374,-12.8832,950.4333,11.515045,473990964,85495670,537037,-14.34,3.99,0.35,-0.1993903,0.2456443,0.3635636,
178,-0.4564658,0.06870956,0.22849922,-0.6488287,-0.7613561,-10.84334,950.44586,11.514984,473989889,85495768,536896,-14.86,-1.5899999,-0.04,-0.22692347,0.15608421,0.40358177,
179,-0.27164245,-0.027164243,0.015446335,-0.29448682,-0.40701428,-9.454702,950.44586,11.514984,473988341,85495249,537529,-13.96,-3.77,-0.82,-0.21148409,0.012145202,0.42772374,
