,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,pressure,temperature,lat,lon,alt,vel_n_m_s,vel_e_m_s,vel_d_m_s,mag_x,mag_y,mag_z
363,0.004261058,-0.14327806,-0.0015978967,-0.7182605,-0.09816227,-8.738836,955.7557,11.816071,473967180,85748290,490736,-6.1299996,-5.5299997,0.19,-0.12095896,0.13940477,0.43975812
364,0.0026631611,0.017576864,-0.002130529,-0.7110779,-0.02873042,-9.861717,955.83234,11.821869,473966728,85747688,490225,-6.42,-5.7999997,1.05,-0.08799287,0.13924246,0.45426235
365,0.0031957934,0.1949434,-0.0031957934,-0.866701,0.047884032,-11.688493,955.91943,11.827118,473965985,85746697,489014,-7.27,-6.56,0.45999998,-0.14039847,0.13525675,0.43526524
366,0.0063915867,0.011717909,0.0010652645,-0.7134721,-0.035913024,-9.89763,955.8658,11.823944,473965462,85745999,489187,-7.0699997,-6.3799996,-0.58,-0.17152493,0.14213832,0.4267752
367,0.0031957934,-0.06924219,-0.004261058,-0.7110779,-0.059855044,-9.141062,955.8658,11.823944,473964738,85745035,489948,-6.33,-5.71,-0.53999996,-0.16789667,0.13772486,0.43019447
368,0.004261058,-0.15659387,0.0015978967,-0.6607997,-0.062249243,-8.535329,955.8204,11.820648,473964293,85744441,490130,-6.0499997,-5.45,0.17,-0.10288402,0.13880791,0.44954208
369,0.0031957934,0.08042747,-0.002130529,-0.6727707,-0.07182605,-10.374076,955.9706,11.8284,473963616,85743536,489054,-6.72,-6.06,1.4,-0.079814896,0.13748726,0.44724783
370,0.0031957934,0.053795855,-0.013315806,-0.91458505,-0.06703765,-10.201694,955.9706,11.8284,473963100,85742848,488169,-7.39,-6.66,0.51,-0.152809,0.13852406,0.43398866
371,-0.004261058,-0.13156016,-0.0026631611,-0.641646,-0.031124622,-8.731653,956.00085,11.831146,473962406,85741931,488365,-6.19,-5.52,0.04,-0.1365103,0.13841313,0.44278988
372,-0.002130529,-0.0005326322,0.0,-7.40766,6.4164605,-9.763555,956.03357,11.832581,473961987,85741379,488134,-3.3899999,-2.78,0.099999994,-0.1702795,0.13714555,0.42443973
373,-0.00479369,-0.0005326322,0.0,-0.02633622,-0.095768064,-9.785102,956.0115,11.832581,473961911,85741300,488121,0.0,0.0,-0.02,-0.17496632,0.13299167,0.42268708
374,0.0063915867,0.0015978967,0.004261058,0.007182605,0.02633622,-9.763555,956.0255,11.832581,473961910,85741300,488118,0.0,-0.02,0.0,-0.16475882,0.1350415,0.4295343
375,-0.0026631611,-0.004261058,0.00479369,-0.04070143,-0.009576807,-9.842564,956.02374,11.832581,473961911,85741300,488119,0.0,0.0,0.01,-0.17055422,0.13453127,0.4314922
376,0.0058589545,-0.0005326322,0.0015978967,0.009576807,-0.074220255,-9.785102,956.04285,11.832581,473961911,85741300,488125,0.0,0.0,-0.03,-0.1682734,0.1417129,0.4271306
377,0.0010652645,-0.0063915867,-0.002130529,-0.009576807,-0.0047884034,-9.785102,956.03094,11.832581,473961910,85741300,488128,0.0,0.0,0.049999997,-0.16574378,0.13541105,0.43402436
